--------- beginning of /dev/log/system
D/Genyd   (   56): error connecting to baseband :(Connection refused) 4 retries left
D/local_opengl(  112): Starting local_opengl
I/ActivityManager(  290): Start proc com.android.mms for broadcast com.android.mms/.transaction.MmsSystemEventReceiver: pid=768 uid=10026 gids={3003, 1015, 1028}
D/CountryDetector(  290): The first listener is added
I/ActivityManager(  290): Start proc com.android.voicedialer for broadcast com.android.voicedialer/.VoiceDialerReceiver: pid=801 uid=10043 gids={3002, 1028}
D/ConnectivityService(  290): ConnectivityChange for WIFI: CONNECTED/CONNECTED
D/ConnectivityService(  290): Policy requires mobile teardown
D/ConnectivityService(  290): ConnectivityChange for WIFI: CONNECTED/CONNECTED
D/ConnectivityService(  290): handleConnectivityChange: address are the same reset per doReset linkProperty[1]: resetMask=0
D/ConnectivityService(  290): ConnectivityChange for mobile: DISCONNECTED/DISCONNECTED
D/ConnectivityService(  290): Attempting to switch to WIFI
I/ActivityManager(  290): Start proc com.android.calendar for broadcast com.android.calendar/.alerts.AlertReceiver: pid=850 uid=10006 gids={3003, 1028}
W/genymotion_audio(  308): out_write() limiting sleep time 116462 to 39909
W/genymotion_audio(  308): out_write() limiting sleep time 89977 to 39909
W/genymotion_audio(  308): out_write() limiting sleep time 63492 to 39909
W/genymotion_audio(  308): out_write() limiting sleep time 48616 to 39909
W/genymotion_audio(  308): out_write() limiting sleep time 116462 to 39909
W/genymotion_audio(  308): out_write() limiting sleep time 89977 to 39909
W/genymotion_audio(  308): out_write() limiting sleep time 63492 to 39909
W/genymotion_audio(  308): out_write() limiting sleep time 50792 to 39909
I/ActivityManager(  290): START {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=esgi.fouriam/.MainActivity u=0} from pid 477
I/ActivityManager(  290): Start proc esgi.fouriam for activity esgi.fouriam/.MainActivity: pid=885 uid=10055 gids={1015, 1028}
I/ActivityManager(  290): START {cmp=esgi.fouriam/.SDLActivity u=0} from pid 885
I/WindowManager(  290): WINDOW DIED Window{5366481c esgi.fouriam/esgi.fouriam.MainActivity paused=false}
I/ActivityManager(  290): Process esgi.fouriam (pid 885) has died.
W/ActivityManager(  290): Force removing ActivityRecord{5368f438 esgi.fouriam/.SDLActivity}: app died, no saved state
I/WindowManager(  290): WINDOW DIED Window{5366b2f4 esgi.fouriam/esgi.fouriam.SDLActivity paused=false}
W/WindowManager(  290): Force-removing child win Window{53691c54 SurfaceView paused=false} from container Window{5366b2f4 esgi.fouriam/esgi.fouriam.SDLActivity paused=false}
W/WindowManager(  290): Failed looking up window
W/WindowManager(  290): java.lang.IllegalArgumentException: Requested window android.os.BinderProxy@53688260 does not exist
W/WindowManager(  290): 	at com.android.server.wm.WindowManagerService.windowForClientLocked(WindowManagerService.java:7640)
W/WindowManager(  290): 	at com.android.server.wm.WindowManagerService.windowForClientLocked(WindowManagerService.java:7631)
W/WindowManager(  290): 	at com.android.server.wm.WindowState$DeathRecipient.binderDied(WindowState.java:854)
W/WindowManager(  290): 	at android.os.BinderProxy.sendDeathNotice(Binder.java:449)
W/WindowManager(  290): 	at com.android.server.SystemServer.init1(Native Method)
W/WindowManager(  290): 	at com.android.server.SystemServer.main(SystemServer.java:949)
W/WindowManager(  290): 	at java.lang.reflect.Method.invokeNative(Native Method)
W/WindowManager(  290): 	at java.lang.reflect.Method.invoke(Method.java:511)
W/WindowManager(  290): 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:786)
W/WindowManager(  290): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:553)
W/WindowManager(  290): 	at dalvik.system.NativeStart.main(Native Method)
I/WindowState(  290): WIN DEATH: null
W/WindowManager(  290): Failed looking up window
W/WindowManager(  290): java.lang.IllegalArgumentException: Requested window android.os.BinderProxy@5367cc60 does not exist
W/WindowManager(  290): 	at com.android.server.wm.WindowManagerService.windowForClientLocked(WindowManagerService.java:7640)
W/WindowManager(  290): 	at com.android.server.wm.WindowManagerService.windowForClientLocked(WindowManagerService.java:7631)
W/WindowManager(  290): 	at com.android.server.wm.WindowState$DeathRecipient.binderDied(WindowState.java:854)
W/WindowManager(  290): 	at android.os.BinderProxy.sendDeathNotice(Binder.java:449)
W/WindowManager(  290): 	at dalvik.system.NativeStart.run(Native Method)
I/WindowState(  290): WIN DEATH: null
I/ActivityManager(  290): Start proc esgi.fouriam for activity esgi.fouriam/.MainActivity: pid=905 uid=10055 gids={1015, 1028}
W/InputMethodManagerService(  290): Got RemoteException sending setActive(false) notification to pid 885 uid 10055
I/ActivityManager(  290): Start proc com.android.defcontainer for service com.android.defcontainer/.DefaultContainerService: pid=930 uid=10011 gids={1015, 2001, 1028}
W/ActivityManager(  290): No content provider found for permission revoke: file:///data/local/tmp/spaceWar-debug.apk
W/ActivityManager(  290): No content provider found for permission revoke: file:///data/local/tmp/spaceWar-debug.apk
I/ActivityManager(  290): Force stopping package esgi.fouriam uid=10055
I/ActivityManager(  290): Killing proc 905:esgi.fouriam/u0a55: force stop
W/ActivityManager(  290): Force removing ActivityRecord{53649898 esgi.fouriam/.MainActivity}: app died, no saved state
I/WindowState(  290): WIN DEATH: Window{536c73f8 esgi.fouriam/esgi.fouriam.MainActivity paused=false}
I/PackageManager(  290): Package esgi.fouriam codePath changed from /data/app/esgi.fouriam-1.apk to /data/app/esgi.fouriam-2.apk; Retaining data and using new
W/InputMethodManagerService(  290): Got RemoteException sending setActive(false) notification to pid 905 uid 10055
W/PackageManager(  290): Code path for pkg : esgi.fouriam changing from /data/app/esgi.fouriam-1.apk to /data/app/esgi.fouriam-2.apk
W/PackageManager(  290): Resource path for pkg : esgi.fouriam changing from /data/app/esgi.fouriam-1.apk to /data/app/esgi.fouriam-2.apk
I/ActivityManager(  290): Force stopping package esgi.fouriam uid=10055
I/ActivityManager(  290): Force stopping package esgi.fouriam uid=10055
I/ActivityManager(  290): Start proc com.android.keychain for broadcast com.android.keychain/.KeyChainBroadcastReceiver: pid=946 uid=1000 gids={1015, 3002, 3001, 3003, 1028}
D/BackupManagerService(  290): Received broadcast Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:esgi.fouriam flg=0x8000010 (has extras) }
D/BackupManagerService(  290): Received broadcast Intent { act=android.intent.action.PACKAGE_ADDED dat=package:esgi.fouriam flg=0x8000010 (has extras) }
V/BackupManagerService(  290): removePackageParticipantsLocked: uid=10055 #1
V/BackupManagerService(  290): addPackageParticipantsLocked: #1
W/InputMethodManagerService(  290): Found no subtypes in a system IME: com.android.inputmethod.pinyin
W/RecognitionManagerService(  290): no available voice recognition services found
I/ActivityManager(  290): Start proc com.android.musicfx for broadcast com.android.musicfx/.Compatibility$Receiver: pid=964 uid=10028 gids={3003, 3002, 1028}
I/ActivityManager(  290): Start proc com.noshufou.android.su for broadcast com.noshufou.android.su/.UninstallReceiver: pid=980 uid=10039 gids={3003, 1015, 1028}
I/ActivityManager(  290): Start proc com.svox.pico for broadcast com.svox.pico/.VoiceDataInstallerReceiver: pid=994 uid=10033 gids={1015, 1028}
I/ActivityManager(  290): Start proc com.android.quicksearchbox for broadcast com.android.quicksearchbox/.CorporaUpdateReceiver: pid=1007 uid=10036 gids={3003, 1028}
I/ActivityManager(  290): No longer want com.android.contacts (pid 658): hidden #16
I/ActivityManager(  290): No longer want com.android.exchange (pid 752): hidden #16
W/ThrottleService(  290): unable to find stats for iface rmnet0
I/ActivityManager(  290): START {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=esgi.fouriam/.MainActivity u=0} from pid 477
W/genymotion_audio(  308): out_write() limiting sleep time 116462 to 39909
I/ActivityManager(  290): Start proc esgi.fouriam for activity esgi.fouriam/.MainActivity: pid=1029 uid=10055 gids={1015, 1028}
W/genymotion_audio(  308): out_write() limiting sleep time 113197 to 39909
W/genymotion_audio(  308): out_write() limiting sleep time 98321 to 39909
W/genymotion_audio(  308): out_write() limiting sleep time 71836 to 39909
W/genymotion_audio(  308): out_write() limiting sleep time 56961 to 39909
W/genymotion_audio(  308): out_write() limiting sleep time 49342 to 39909
I/ActivityManager(  290): START {cmp=esgi.fouriam/.SDLActivity u=0} from pid 1029
W/genymotion_audio(  308): out_write() limiting sleep time 116462 to 39909
W/genymotion_audio(  308): out_write() limiting sleep time 78367 to 39909
W/genymotion_audio(  308): out_write() limiting sleep time 63492 to 39909
W/genymotion_audio(  308): out_write() limiting sleep time 48616 to 39909
I/WindowManager(  290): WINDOW DIED Window{5366481c esgi.fouriam/esgi.fouriam.MainActivity paused=false}
I/ActivityManager(  290): Process esgi.fouriam (pid 1029) has died.
W/ActivityManager(  290): Force removing ActivityRecord{53616978 esgi.fouriam/.SDLActivity}: app died, no saved state
I/WindowManager(  290): WINDOW DIED Window{5366ec44 esgi.fouriam/esgi.fouriam.SDLActivity paused=false}
W/WindowManager(  290): Force-removing child win Window{53687700 SurfaceView paused=false} from container Window{5366ec44 esgi.fouriam/esgi.fouriam.SDLActivity paused=false}
W/WindowManager(  290): Failed looking up window
W/WindowManager(  290): java.lang.IllegalArgumentException: Requested window android.os.BinderProxy@536a8bf4 does not exist
W/WindowManager(  290): 	at com.android.server.wm.WindowManagerService.windowForClientLocked(WindowManagerService.java:7640)
W/WindowManager(  290): 	at com.android.server.wm.WindowManagerService.windowForClientLocked(WindowManagerService.java:7631)
W/WindowManager(  290): 	at com.android.server.wm.WindowState$DeathRecipient.binderDied(WindowState.java:854)
W/WindowManager(  290): 	at android.os.BinderProxy.sendDeathNotice(Binder.java:449)
W/WindowManager(  290): 	at dalvik.system.NativeStart.run(Native Method)
I/WindowState(  290): WIN DEATH: null
W/WindowManager(  290): Failed looking up window
W/WindowManager(  290): java.lang.IllegalArgumentException: Requested window android.os.BinderProxy@5367f200 does not exist
W/WindowManager(  290): 	at com.android.server.wm.WindowManagerService.windowForClientLocked(WindowManagerService.java:7640)
W/WindowManager(  290): 	at com.android.server.wm.WindowManagerService.windowForClientLocked(WindowManagerService.java:7631)
W/WindowManager(  290): 	at com.android.server.wm.WindowState$DeathRecipient.binderDied(WindowState.java:854)
W/WindowManager(  290): 	at android.os.BinderProxy.sendDeathNotice(Binder.java:449)
W/WindowManager(  290): 	at dalvik.system.NativeStart.run(Native Method)
I/WindowState(  290): WIN DEATH: null
I/ActivityManager(  290): Start proc esgi.fouriam for activity esgi.fouriam/.MainActivity: pid=1050 uid=10055 gids={1015, 1028}
W/InputMethodManagerService(  290): Got RemoteException sending setActive(false) notification to pid 1029 uid 10055
I/ActivityManager(  290): START {cmp=esgi.fouriam/.SDLActivity u=0} from pid 1050
W/genymotion_audio(  308): out_write() limiting sleep time 116462 to 39909
W/genymotion_audio(  308): out_write() limiting sleep time 89977 to 39909
W/genymotion_audio(  308): out_write() limiting sleep time 63492 to 39909
W/genymotion_audio(  308): out_write() limiting sleep time 50792 to 39909
I/WindowState(  290): WIN DEATH: Window{5368f234 SurfaceView paused=false}
I/ActivityManager(  290): Process esgi.fouriam (pid 1050) has died.
W/ActivityManager(  290): Force removing ActivityRecord{536884c4 esgi.fouriam/.SDLActivity}: app died, no saved state
